-1.691,0.28095,1.4083,-1.392,-0.28095,-1.4083
-1.6964,0.28184,1.4128,-1.3965,-0.28184,-1.4128
-1.7013,0.28266,1.4169,-1.4005,-0.28266,-1.4169
-1.7057,0.2834,1.4206,-1.4042,-0.2834,-1.4206
-1.7097,0.28405,1.4239,-1.4074,-0.28405,-1.4239
-1.7131,0.28463,1.4268,-1.4103,-0.28463,-1.4268
-1.7161,0.28512,1.4292,-1.4127,-0.28512,-1.4292
-1.7186,0.28553,1.4313,-1.4147,-0.28553,-1.4313
-1.7205,0.28585,1.4329,-1.4163,-0.28585,-1.4329
-1.7219,0.28608,1.434,-1.4175,-0.28608,-1.434
-1.7228,0.28623,1.4348,-1.4182,-0.28623,-1.4348
-1.7231,0.28628,1.4351,-1.4185,-0.28628,-1.4351
-1.7231,0.28628,1.4351,-1.4185,-0.28628,-1.4351
-1.7224,0.28812,1.4331,-1.4182,-0.28421,-1.4359
-1.7203,0.29333,1.4274,-1.4173,-0.27833,-1.4383
-1.7171,0.30149,1.4186,-1.416,-0.26913,-1.4421
-1.7128,0.31216,1.4071,-1.4143,-0.2571,-1.4471
-1.7078,0.3249,1.3933,-1.4122,-0.24273,-1.453
-1.7021,0.33928,1.3778,-1.4098,-0.22651,-1.4597
-1.6959,0.35486,1.3609,-1.4073,-0.20894,-1.4669
-1.6894,0.37121,1.3432,-1.4047,-0.1905,-1.4745
-1.6828,0.38789,1.3252,-1.4019,-0.17169,-1.4822
-1.6762,0.40447,1.3073,-1.3992,-0.15299,-1.4899
-1.6698,0.42051,1.29,-1.3966,-0.13491,-1.4974
-1.6638,0.43557,1.2737,-1.3942,-0.11792,-1.5044
-1.6584,0.44922,1.2589,-1.392,-0.10252,-1.5107
-1.6537,0.46103,1.2462,-1.39,-0.089205,-1.5162
-1.6499,0.47056,1.2359,-1.3885,-0.078462,-1.5206
-1.6472,0.47737,1.2285,-1.3874,-0.070782,-1.5238
-1.6458,0.48102,1.2245,-1.3868,-0.066657,-1.5255
-1.6458,0.48102,1.2245,-1.3868,-0.066657,-1.5255
-1.6461,0.4799,1.2254,-1.3871,-0.067775,-1.5247
-1.6469,0.47664,1.2277,-1.3879,-0.071039,-1.5223
-1.6483,0.47137,1.2315,-1.3893,-0.076308,-1.5185
-1.6502,0.46423,1.2367,-1.3912,-0.083446,-1.5133
-1.6525,0.45536,1.2432,-1.3935,-0.092314,-1.5069
-1.6553,0.4449,1.2508,-1.3963,-0.10277,-1.4993
-1.6584,0.43299,1.2594,-1.3994,-0.11469,-1.4906
-1.6619,0.41976,1.269,-1.4029,-0.12791,-1.481
-1.6657,0.40535,1.2795,-1.4067,-0.14232,-1.4705
-1.6697,0.3899,1.2907,-1.4108,-0.15776,-1.4593
-1.674,0.37356,1.3025,-1.4151,-0.17411,-1.4474
-1.6785,0.35645,1.315,-1.4196,-0.19121,-1.435
-1.6832,0.33872,1.3278,-1.4242,-0.20894,-1.4221
-1.688,0.3205,1.3411,-1.429,-0.22715,-1.4089
-1.6929,0.30194,1.3545,-1.4339,-0.24572,-1.3954
-1.6978,0.28316,1.3682,-1.4389,-0.26449,-1.3817
-1.7028,0.26432,1.3818,-1.4438,-0.28333,-1.368
-1.7077,0.24554,1.3955,-1.4488,-0.3021,-1.3544
-1.7126,0.22697,1.409,-1.4537,-0.32067,-1.3409
-1.7174,0.20875,1.4222,-1.4585,-0.33889,-1.3277
-1.722,0.191,1.4351,-1.4631,-0.35663,-1.3148
-1.7265,0.17388,1.4475,-1.4676,-0.37375,-1.3023
-1.7309,0.15752,1.4594,-1.472,-0.39011,-1.2904
-1.7349,0.14205,1.4706,-1.476,-0.40557,-1.2792
-1.7387,0.12763,1.4811,-1.4798,-0.42,-1.2687
-1.7422,0.11437,1.4907,-1.4833,-0.43325,-1.2591
-1.7453,0.10243,1.4994,-1.4865,-0.44519,-1.2504
-1.7481,0.091936,1.507,-1.4892,-0.45568,-1.2428
-1.7504,0.083034,1.5134,-1.4916,-0.46458,-1.2363
-1.7523,0.075858,1.5186,-1.4935,-0.47176,-1.2311
-1.7537,0.070549,1.5225,-1.4949,-0.47707,-1.2272
-1.7546,0.067243,1.5249,-1.4957,-0.48037,-1.2248
-1.7549,0.06608,1.5257,-1.496,-0.48153,-1.224
-1.7549,0.06608,1.5257,-1.496,-0.48153,-1.224
-1.7546,0.06607,1.5255,-1.4958,-0.48146,-1.2238
-1.7538,0.06604,1.5248,-1.4951,-0.48124,-1.2232
-1.7525,0.06599,1.5237,-1.494,-0.48088,-1.2223
